#,Book Title,Author,ISBN-13
143,Life Force,Tony Robbins et al.,978-1982181055
144,Lifespan,David Sinclair,978-1501191977
145,Living with the Seal,Jesse Itzler,978-1455534685
146,Losing Big (Sports Gambling),Jonathan Cohen,978-1250248831
147,"Love You, Hug You, Read to You",Tish Rabe,978-0310722335
148,Loving What Is,Byron Katie,978-1101906736
149,Magellan,Laurence Bergreen,978-0713996562
150,Manhunt,James L. Swanson,978-0060518509
#,Book Title,Author,ISBN-13
151,Margin of Safety,Seth Klarman,978-0887305108
152,Mastering The Market Cycle,Howard Marks,978-1328479907
153,Meditations,Marcus Aurelius,978-0812968255
154,Mistakes Were Made (But Not By Me),Carol Tavris & Elliot Aronson,978-0544574786
155,Money for the Rest of Us,David Stein,978-1260453867
156,Mother of God,Paul Rosolie,978-0062259523
157,Mystic by the Sea,Tish Rabe,978-0310722359
158,The Almanack of Naval Ravikant,Eric Jorgenson,978-1544514215
159,New Kings of the World,Fatima Bhutto,978-0231193504
160,"Now, Not How (10x Is Easier...)",Dan Sullivan & Benjamin Hardy,978-1401969950
161,Ogilvy on Advertising,David Ogilvy,978-0394729039
162,On Death and Dying,Elizabeth Kübler-Ross,978-1476775630
163,On Liberty,John Stuart Mill,978-0140432077
164,On Writing,Stephen King,978-1982159375
165,On Writing Well,William Zinsser,978-0060891541
166,Once an Eagle,Anton Myrer,978-0062221629
167,One Up On Wall Street,Peter Lynch,978-0743200516
168,Paleo Fitness,Darryl Edwards,978-1612431710
169,Plato's Republic,Plato,978-0140455113
170,Poor Charlie's Almanack,Charlie Munger,978-1578645015
171,Positioning,Al Ries & Jack Trout,978-0071373586
172,Postmortem,Patricia Cornwell,978-1501191397
173,Precious Blood,Jonathan Hayes,978-0061143434
174,Principles for Dealing with the Changing World Order,Ray Dalio,978-1982160531
175,Range,David Epstein,978-0735214484
176,"Ready, Fire, Aim",Michael Masterson,978-0470182024
177,Reagan: An American Journey,Will Inboden,978-1524745813
178,Red Sky Morning,Jack Carr,978-1982123796
179,Roosevelt: The Lion and the Fox,James MacGregor Burns,978-0156788700
180,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,978-0802130365
181,Running Down a Dream,Bill Gurley,978-1733606301
182,From Impossible to Inevitable,Jason Lemkin,978-1119531692
183,Sam Walton: Made in America,Sam Walton,978-0553562835
184,Sapiens,Yuval Noah Harari,978-0062316097
185,Savage Son,Jack Carr,978-1982123741
186,Save The Cat,Blake Snyder,978-1932907001
187,Scaling Up,Verne Harnish,978-0986019524
188,Scarpetta,Patricia Cornwell,978-0425230152
189,Second Act,Henry Oliver,978-1399407335
190,Security Analysis,Benjamin Graham & David Dodd,978-0071597357
191,Seinfeldia,Jennifer K. Armstrong,978-1476756110
192,Self-Renewal,John W. Gardner,978-0393312959
193,Sell Like Crazy,Sabri Suby,978-0648459903
194,Set for Life,Scott Trench,978-1944193850
195,Ship of Gold in the Deep Blue Sea,Gary Kinder,978-0802144256
196,Simple But Not Easy,Richard Oldfield,978-1906659103
197,Sludge,Cass Sunstein,978-0262544719
198,Songlines,Bruce Chatwin,978-0142422571
199,Songs of Blood and Sword,Fatima Bhutto,978-1568586328
200,Spycatcher,Peter Wright,978-0440201328
#,Book Title,Author,ISBN-13
201,Steve Jobs,Walter Isaacson,978-1451648546
202,Strength of the Few,James Islington,978-1471164804
203,StrengthsFinder 2.0,Tom Rath,978-1595620156
204,Stuck in Space,Butch Wilmore,978-1637559130
205,The Adweek Copywriting Handbook,Joe Sugarman,978-0470051245
206,Sweet Dreams,Tish Rabe,978-0375841668
207,Swim with the Sharks,Harvey Mackay,978-0060742805
208,Tales of a Grandfather,Walter Scott,978-1841951560
209,Taylor Swift: The Whole Story,Chas Newkey-Burden,978-0007551064
210,The 2-Hour Cocktail Party,Nick Gray,978-1544530055
211,The 4-Hour Workweek,Tim Ferriss,978-0307465351
212,The 48 Laws of Power,Robert Greene,978-0140280197
213,The 50th Law,Robert Greene & 50 Cent,978-1594488849
214,The Aki Tree,Hugh Francis Clarke Cleghorn,978-8120612259
215,The Almanack of Naval Ravikant,Eric Jorgenson,978-1544514215
216,The Anabolic Diet,Mauro Di Pasquale,978-0968037300
217,The Anatomy of the Bear,Russell Napier,978-0857195227
218,The Art Thief,Michael Finkel,978-1101946329
219,The Art of Immortality,Meryle Secrest,978-1616205317
220,The Art of Product Management,Rich Mironov,978-1439209592
221,The Art of Seduction,Robert Greene,978-0142001196
222,The Beato Book,Rick Beato,978-1736172506
223,The Billion Dollar Creator,Nathan Barry,978-1544543789
224,The Bitcoin Standard,Saifedean Ammous,978-1119473862
225,The Black Swan,Nassim Taleb,978-0812973815
226,The Blind Side,Michael Lewis,978-0393330472
227,The Book of Enoch,Unknown,978-1512192117
228,The Book of Exodus (ESV),Various,978-1433544668
229,The Book of Genesis (ESV),Various,978-1433544651
230,The Book of Hebrews,Unknown,978-0801017360
231,The Book of James,James the Apostle,978-1433547461
232,The Book of Jonah,Various,978-1433560705
233,The Book of Psalms (Illuminated),Various,978-1433552090
234,The Book of Revelation,John the Apostle,978-1433560729
235,The Boron Letters,Gary Halbert,978-1484825983
236,The Molecule of More,Daniel Z. Lieberman,978-1946885111
237,The Brus,John Barbour,978-1841581231
238,The Caesars Palace Coup,Max Frumes & S. Indap,978-1541757134
239,The Comfort Crisis,Michael Easter,978-0593138762
240,The Contrarian,Max Chafkin,978-1984878588
241,The Dark Knight Manual,Brandon T. Snider,978-1608871049
242,The Debugger's Handbook,Jim McKelvey,978-1544521442
243,The Dhandho Investor,Mohnish Pabrai,978-0470047897
244,The E-Myth Revisited,Michael Gerber,978-0887307287
245,The Evolution of Human Physical Activity,Daniel Lieberman,978-0691176260
246,The Five Love Languages,Gary Chapman,978-0802412706
247,How to Live a Better Life,Anthony Pompliano,978-1544547213
248,The Formula,J. Robinson & J. Clegg,978-0316538053
249,The Future Begins with Z,Tim Elmore,978-0718091521
250,The Future of Truth,Werner Herzog,978-1839768606
#,Book Title,Author,ISBN-13
251,The Grown-Up Land,Diana West,978-1250193711
252,The Hero with a Thousand Faces,Joseph Campbell,978-1577315933
253,The Holy Grail of Investing,Tony Robbins,978-1668052686
254,The Hour of the Wolf,Fatima Bhutto,978-0143461241
255,The Hybrid Athlete,Alex Viada,978-1511674393
256,The Internet of Money,Andreas Antonopoulos,978-1537000459
257,The Lie Detectives,Sasha Issenberg,978-0593419519
258,The Life of Samuel Johnson,James Boswell,978-0140431162
259,The Longevity Imperative,Andrew J. Scott,978-1399411936
260,The Magical State,Fernando Coronil,978-0226116020
261,The Making of the Atomic Bomb,Richard Rhodes,978-1451677614
262,The Chocolate Wars (Mars & Hershey),Joël Glenn Brenner,978-0312198039
263,The Martian,Andy Weir,978-0553418026
264,The Math Academy Way,Jason Taylor,979-8869150011
265,The Mattering Instinct,Rebecca N. Goldstein,978-0399155703
266,The Melting Pot,Israel Zangwill,978-1442188433
267,The Memory Illusion,Julia Shaw,978-1847947628
268,The Mind-Body Problem,Rebecca N. Goldstein,978-0140244794
269,The Miracle Morning,Hal Elrod,978-0979019715
270,The Mom Test,Rob Fitzpatrick,978-1492180746
271,The Moody's Manual,Moody's,978-1114251281
272,The Murder of Roger Ackroyd,Agatha Christie,978-0062073563
273,The Mysterious Case of Rudolf Diesel,Douglas Brunt,978-1982169992
274,The Mystery of Capital,Hernando de Soto,978-0465016150
275,The New Attachment Theory,Thais Gibson,978-0593433515
276,The New Journalism,Tom Wolfe,978-0330243224
277,The New New Journalism,Robert S. Boynton,978-1400033560
278,The Nick Sleep Letters,Nick Sleep,978-1915635006
279,$100M Offers,Alex Hormozi,978-1737475712
280,The New One Minute Manager,Ken Blanchard,978-0062367549
281,The Other Side of Change,Maya Shankar,978-1529146196
282,The Outsiders,William Thorndike,978-1422162675
283,The Positive Intent Mindset,Amir Kaissi,978-1637744383
284,The Power of One More,Ed Mylett,978-1119813576
285,The Price of Everything,Sol Price / R. Kripal,978-0984955305
286,The Proximity Principle,Ken Coleman,978-1942121244
287,The Psychology of Money,Morgan Housel,978-0857197689
288,The Puzzle of Personality,David Funder,978-0070227322
289,The Quran (Oxford World Classics),M.A.S. Abdel Haleem,978-0199535958
290,The RLHF Book,Nathan Lambert,979-8874100513
291,The Rest of the Iceberg,Robert Smith,978-1629013060
292,The Rolex Story,Gisbert L. Brunner,978-1851497836
293,The Seasons of Life,Jim Rohn,978-0936390017
294,The Seven Power Contractor,Al Levy,978-1544520933
295,The Sheikh CEO,Dr. Yasar Jarrar,978-1736343500
296,The Simple Path to Wealth,J.L. Collins,978-1533667922
297,The Sneetches and Other Stories,Dr. Seuss,978-0394800899
298,The Souls of Black Folk,W. E. B. Du Bois,978-0140189988
299,The Sovereign Individual,Davidson & Rees-Mogg,978-0684832722
300,The Splendid and the Vile,Erik Larson,978-0385348713
#,Book Title,Author,ISBN-13
301,The Startup Owner's Manual,Steve Blank,978-1119690726
302,The Subtle Art of Not Giving a F*ck,Mark Manson,978-0062457714
303,The Successful Novelist,David Morrell,978-1402211515
304,The Therapeutic State,James L. Nolan Jr.,978-0814757918
305,The Tipping Point,Malcolm Gladwell,978-0316346627
306,The Torah (JPS Edition),Various,978-0827606807
307,The Triple Package,Amy Chua & J. Rubenfeld,978-1594205460
308,The True Believer,Eric Hoffer,978-0060505912
309,The 2-Hour Cocktail Party,Nick Gray,978-1544530055
310,The Tyranny of Oil,Antonia Juhasz,978-0061434518
311,The Ultimate Sales Letter,Dan S. Kennedy,978-1440511417
312,The Undoing Project,Michael Lewis,978-0393354775
313,The Upside of Your Dark Side,T. Kashdan & R. Biswas-Diener,978-1594631733
314,The Upswing,Robert D. Putnam,978-1982129149
315,The Use of Knowledge in Society,Friedrich Hayek,978-1610166065
316,The Value Equation,Alex Hormozi,978-1737475798
317,The Voice in My Head is God,2Chainz,978-1544546520
318,The Wallace,Blind Harry,978-0859765848
319,The War Scroll,Unknown,978-1556359552
320,Just Keep Buying (The Wealth Ladder),Nick Maggiulli,978-0857199256
321,The Wealthy Barber,David Chilton,978-0761501275
322,The Will of the Many,James Islington,978-1668012116
323,The Wisdom of the Hive,Thomas D. Seeley,978-0674953765
324,The Work,Byron Katie,978-1101904046
325,The World of Yesterday,Stefan Zweig,978-0803273245
326,Theory of Moral Sentiments,Adam Smith,978-0143105923
327,There Is Nothing For You Here,Fiona Hill,978-0358570318
328,There’s a Treasure Inside,John Collins Black,978-1736173404
329,They're Made Out of Meat,Terry Bisson,978-1597808262
330,This Is Water,David Foster Wallace,978-0316068222
331,Tiny Experiments,Anne-Laure Le Cunff,978-1804090510
332,Titan,Ron Chernow,978-1101912355
333,Too Sensitive,Sasha Hamdani,978-0593438886
334,Traction (Entrepreneurial OS),Gino Wickman,978-1936661831
335,Traction (Startup Growth),G. Weinberg & J. Mares,978-1591848363
336,Trading at the Speed of Light,Donald MacKenzie,978-0691211381
337,Transcend,Scott Barry Kaufman,978-0143131205
338,Travels in Corsica,William Keith Leask,978-1330960578
339,Triggers,Joe Sugarman,978-1891686054
340,Unabridged,Stefan Fatsis,978-0062973344
341,Understanding Media,Marshall McLuhan,978-0262631594
342,The Matthew Effect,Mark Wilburn,978-1543977110
343,Uneducated,Francis Foster,978-1800753068
344,Ungifted,Scott Barry Kaufman,978-0465066964
345,Unleash the Power Within,Tony Robbins,978-1416550709
346,Unshakeable,Tony Robbins,978-1501164583
347,Vaccines and Men,Aaron Siri,978-1510769359
348,Veeck - As In Wreck,Bill Veeck,978-0226848457
349,Vibe Coding,S. Yegge & G. Kim,978-1098177409
350,Walt Disney,Neal Gabler,978-0679757474
#,Book Title,Author,ISBN-13
351,War Games,David Bischoff,978-0440195535
352,The War of Art,Steven Pressfield,978-1936891023
353,The War of the Worlds,H.G. Wells,978-0141441030
354,Horus Rising (The Horus Heresy),Dan Abnett,978-1844162949
355,Worn,Sofi Thanhauser,978-1524748395
356,Warren Buffett and the... Financial Statements,Mary Buffett,978-1416573180
357,We Are the Bad Guys,Michael Lester,978-1544521404
358,The Wealthy Barber,David Chilton,978-0761501275
359,Weapons of Mass Instruction,John Taylor Gatto,978-0865716315
360,Rich AF (Well Endowed),Vivian Tu,978-0593714423
361,Werewolves in Their Youth,Michael Chabon,978-0312423773
362,What to Make of a Life,Jim Collins,978-1838610500
363,Where Are the Customers’ Yachts?,Fred Schwed Jr.,978-0471770893
364,Where We Keep the Light,Josh Shapiro,978-1538742464
365,Who Killed Jane Stanford?,Richard White,978-1324007036
366,Who Moved My Cheese?,Spencer Johnson,978-0399144462
367,Why Fish Don’t Exist,Lulu Miller,978-1501160349
368,Wild Problems,Russ Roberts,978-0593420119
369,Windswept House,Malachi Martin,978-0385492317
370,Winning,Tim Grover,978-1982168865
371,Wisdom Wide and Deep,Shaila Catherine,978-0861715237
372,"Witches, Feminism, and the Fall of the West",Edward Dutton,978-1544521428
373,Words That Work,Frank Luntz,978-1401309299
374,Worn: A People's History of Clothing,Sofi Thanhauser,978-1524748395
375,You Can Be a Stock Market Genius,Joel Greenblatt,978-0684844397
376,You Can't Teach Hungry,John Morgan,978-1544510002
377,You Can't Teach Vision,John Morgan,978-1544521367
378,You Could Be Having Better Sex,Dr. Nicole McNichols,978-1544530093
379,You Have More Influence Than You Think,Vanessa Bohns,978-1324005667
380,You Need a Budget,Jesse Mecham,978-0062860392
381,The Power of Two,Joseph Bradley,978-0131435254
382,Young Forever,Mark Hyman,978-0316453189
383,Citizen Newsom (Young Man in a Hurry),Gavin Newsom,978-0143132332
384,Day Trading Attention,Gary Vaynerchuk,978-0063394117
385,The Paleo Cure (Personal Paleo Code),Chris Kresser,978-0316322935
386,Zeckendorf,William Zeckendorf,978-1614521020
387,Zero to One,Peter Thiel,978-0804139298
388,iGen,Jean M. Twenge,978-1501151989
#,Book Title,Author,ISBN-13
351,War Games,David Bischoff,978-0440195535
352,The War of Art,Steven Pressfield,978-1936891023
353,The War of the Worlds,H.G. Wells,978-0141441030
354,Horus Rising (Horus Heresy Vol 1),Dan Abnett,978-1844162949
355,Worn,Sofi Thanhauser,978-1524748395
356,Warren Buffett & Financial Statements,Mary Buffett,978-1416573180
357,We Are the Bad Guys,Michael Lester,978-1544521404
358,The Wealthy Barber,David Chilton,978-0761501275
359,Weapons of Mass Instruction,John Taylor Gatto,978-0865716315
360,Rich AF (Well Endowed),Vivian Tu,978-0593714423
361,Werewolves in Their Youth,Michael Chabon,978-0312423773
362,What to Make of a Life,Jim Collins,978-1838610500
363,Where Are the Customers’ Yachts?,Fred Schwed Jr.,978-0471770893
364,Where We Keep the Light,Josh Shapiro,978-1538742464
365,Who Killed Jane Stanford?,Richard White,978-1324007036
366,Who Moved My Cheese?,Spencer Johnson,978-0399144462
367,Why Fish Don’t Exist,Lulu Miller,978-1501160349
368,Wild Problems,Russ Roberts,978-0593420119
369,Windswept House,Malachi Martin,978-0385492317
370,Winning,Tim Grover,978-1982168865
371,Wisdom Wide and Deep,Shaila Catherine,978-0861715237
372,"Witches, Feminism, and the Fall...",Edward Dutton,978-1544521428
373,Words That Work,Frank Luntz,978-1401309299
374,Worn: A People's History of Clothing,Sofi Thanhauser,978-1524748395
375,You Can Be a Stock Market Genius,Joel Greenblatt,978-0684844397
376,You Can't Teach Hungry,John Morgan,978-1544510002
377,You Can't Teach Vision,John Morgan,978-1544521367
378,You Could Be Having Better Sex,Dr. Nicole McNichols,978-1544530093
379,You Have More Influence Than You Think,Vanessa Bohns,978-1324005667
380,You Need a Budget,Jesse Mecham,978-0062860392
381,The Power of Two,Joseph Bradley,978-0131435254
382,Young Forever,Mark Hyman,978-0316453189
383,Citizen Newsom,Gavin Newsom,978-0143132332
384,Day Trading Attention,Gary Vaynerchuk,978-0063394117
385,The Paleo Cure,Chris Kresser,978-0316322935
386,Zeckendorf,William Zeckendorf,978-1614521020
387,Zero to One,Peter Thiel,978-0804139298
388,iGen,Jean M. Twenge,978-1501151989
