book_title,author
Principles for Dealing with the Changing World Order,Ray Dalio
Range: Why Generalists Triumph in a Specialized World,David Epstein
"Ready, Fire, Aim",Michael Masterson (Mark Ford)
"Ready, Fire, Aim: Zero to $100 Million in No Time Flat",Michael Masterson
Reagan: An American Journey,Will Inboden
Real Estate by the Numbers,J. Scott
Red Sky Morning,Jack Carr
Relentlessly Resourceful,Paul Graham
Roosevelt: The Lion and the Fox,James MacGregor Burns
Rose and Tulip Quilts,
Rosencrantz and Guildenstern Are Dead,Tom Stoppard
Running Down a Dream,Dominic Peterson
Running Down a Dream: Your Road Map to Winning Creative Battles,Bill Gurley
SaaStr: From Impossible to Inevitable,Jason Lemkin
Sam Walton: Made in America,Sam Walton
Sapiens: A Brief History of Humankind,Yuval Noah Harari
Savage Son,Jack Carr
Save The Cat,Blake Snyder
Scaling Up,Verne Harnish
Scarpetta,Patricia Cornwell
Schofield Bible,Cyrus I. Scofield
Second Act,Henry Oliver
Secure: The Revolutionary Guide to Creating a Secure Life,"Amir Levine, M.D."
Security Analysis,Benjamin Graham and David Dodd
Seinfeldia: How a Show About Nothing Changed Everything,Jennifer Keishin Armstrong
Self-Renewal,John W. Gardner
Sell Like Crazy,Sabri Suby
Set for Life,Scott Trench
Shadow Work Journal,Unknown
Ship of Gold in the Deep Blue Sea,Gary Kinder
Simple But Not Easy: An Autobiographical and Biographical View of the Investment World,Richard Oldfield
Sludge: What Stops Us from Getting Things Done and What to Do About It,Cass Sunstein
Soldier of Fortune,Tobias Carlisle
Solve Everything,Jonathan Hickman
Songlines,Bruce Chatwin
Songs of Blood and Sword,Fatima Bhutto
Spycatcher,Peter Wright
Start With Yourself,Emma Grede
Steve Jobs,Walter Isaacson
Strength of the Few,James Islington
StrengthsFinder 2.0,Tom Rath
Stuck in Space: An Astronaut's Hope Through the Unexpected,Butch Wilmore
Sugarman's Advertising Secrets,Joe Sugarman
Sweet Dreams,Tish Rabe
Swim with the Sharks Without Being Eaten Alive,Harvey Mackay
Tales of a Grandfather,Walter Scott
Tax Strategies Book Bundle,Amanda Han
Taylor Swift: The Whole Story,Chas Newkey-Burden
The 2-Hour Cocktail Party,Nick Gray
The 4-Hour Workweek,Tim Ferriss
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Tim Ferriss
The 48 Laws of Power,Robert Greene
The 50th Law,Robert Greene & 50 Cent
The Aki Tree,Hugh Francis Clarke Cleghorn
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson
The Anabolic Diet,Mauro Di Pasquale
The Anatomy of the Bear,Russell Napier
The Art Thief,Michael Finkel
The Art of Immortality: Joseph Duveen and the American Art Market,Meryle Secrest
The Art of Product Management: Lessons from a Silicon Valley Innovator,Rich Mironov
The Art of Seduction,Robert Greene
The Beato Book,Rick Beato
The Billion Dollar Creator,Nathan Barry
The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous
The Black Swan,Nassim Taleb
The Blind Side,Michael Lewis
The Book of Enoch,Unknown (traditionally attributed to Enoch)
The Book of Exodus,Various Authors
The Book of Genesis,Various Authors
The Book of Hebrews,Unknown
The Book of James,James the Apostle
The Book of Jonah,Various Authors
The Book of Psalms,Various Authors
The Book of Revelation,John the Apostle
The Boron Letters,Gary Halbert
"The Brain on Dopamine: The Science Behind Motivation, Addiction, and Learning",Daniel Z. Lieberman
The Brus,John Barber
The Caesars Palace Coup,Max Frumes and Sujeet Indap
The Comfort Crisis,Michael Easter
The Contrarian,Max Chafkin
"The Dark Knight Manual: Tools, Weapons, Vehicles and Documents from the Batcave",Brandon T. Snider
The Debugger's Handbook,Jim McKelvey
The Dhandho Investor,Mohnish Pabrai
The E-Myth,Michael Gerber
The Evolution of Human Physical Activity,Daniel Lieberman
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman
The Foreword to Anthony Pompliano's Book About Bitcoin,Anthony Pompliano
The Formula,Joshua Robinson and Jonathan Clegg
The Future Begins with Z: Nine Strategies to Lead Generation Z as They Disrupt the Workplace,Tim Elmore
The Future of Truth,Werner Herzog
The Gambler,William C. Rempel
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss
The Geneva Bible,Various Authors
The Gentle Art of Making Enemies,James McNeill Whistler
The God Delusion,Richard Dawkins
The Godfather,Mario Puzo
The Gospel of Luke,Various Authors
The Great CEO Within,Matt Mochary
The Grown-Up Land: Germany Without America,Diana West
The Hero with a Thousand Faces,Joseph Campbell
The Holy Grail of Investing,Tony Robbins
The Hour of the Wolf,Fatima Bhutto
The Hybrid Athlete,Alex Viada
The Internet of Money,Andreas M. Antonopoulos
The Lie Detectives: A Playbook for Winning Elections in the Disinformation Age,Sasha Issenberg
The Life of Samuel Johnson,James Boswell
The Longevity Imperative,Andrew J. Scott
The Magical State,Fernando Coronil
The Making of the Atomic Bomb,Richard Rhodes
The Mars and Hershey Wars: The Inside Story of the $30 Billion Candy Giants,Joël Glenn Brenner
The Martian,Andy Weir
The Math Academy Way,null
The Mattering Instinct: How Our Deepest Longing Drives Us and Divides Us,Rebecca Newberger Goldstein
The Melting Pot,Israel Zangwill
The Memory Illusion,Julia Shaw
The Mind-Body Problem,Rebecca Newberger Goldstein
The Miracle Morning,Hal Elrod
The Mom Test,Rob Fitzpatrick
The Moody's Manual,Moody's Investors Service
The Murder of Roger Ackroyd,Agatha Christie
The Mysterious Case of Rudolf Diesel,Douglas Brunt
The Mystery of Capital,Hernando de Soto
The New Attachment Theory: Heal Every Relationship by Rewiring Your Brain and Nervous System,Thais Gibson
The New Journalism,Tom Wolfe
The New New Journalism,Robert S. Boynton
The Nick Sleep Letters,Nick Sleep
The Offers Book,Alex Hormozi
The One Minute Manager,Ken Blanchard and Spencer Johnson
The Other Side of Change,Maya Shankar
The Outsiders,William N. Thorndike
The Paradox of Declining Female Happiness,Betsey Stevenson and Justin Wolfers
The Positive Intent Mindset,Amir Kaise
The Positive Intent Mindset: Exceptional Leadership Through Trust and Accountability,Amir Kaissi
The Power of One More,Ed Mylett
The Price of Everything: Sol Price and the Creation of Costco,Jeffrey J. Kripal
The Proximity Principle,Ken Coleman
The Psychology of Money,Morgan Housel
The Puzzle of Personality,Unknown
The Quran,Various Authors
The RLHF Book,Nathan Lambert
The Rest of the Iceberg: An Insider’s View on the World of Sports and Celebrity,Robert Smith
The Rolex Story,Gisbert L. Brunner
The Seasons of Life,Jim Rohn
The Seven Power Contractor,Al Levy
The Sheikh CEO,Dr. Yasar Jarrar
The Simple Path to Wealth,J.L. Collins
The Sneetches and Other Stories,Dr. Seuss
The Souls of Black Folk,W. E. B. Du Bois
The Sovereign Individual,James Dale Davidson and William Rees-Mogg
The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company,Steve Blank
The Subtle Art of Not Giving a F*ck,Mark Manson
The Successful Novelist,David Morrell
The Therapeutic State,James L. Nolan Jr.
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
The Torah,Various Authors
The Triple Package,Amy Chua and Jed Rubenfeld
The True Believer,Eric Hoffer
The Two-Hour Cocktail Party,Nick Gray
The Tyranny of Oil,Antonia Juhasz
The Ultimate Sales Letter: Attract New Customers. Boost Your Sales.,Dan S. Kennedy
The Undoing Project,Michael Lewis
The Upside of Your Dark Side,Todd Kashdan and Robert Biswas-Diener
The Upswing: How We Came Together a Century Ago and How We Can Do It Again,"Robert D Putnam, Shaylyn Romney Garrett"
The Use of Knowledge in Society,Friedrich Hayek
The Value Equation,Alex Hormozi
The Voice in My Head is God,2Chainz
The Wallace,Blind Harry
The War Scroll,Unknown
The Wealth Ladder,Nick Maggiulli
The Wealthy Barber,David Chilton
The Will of the Many,James Islington
The Wisdom of the Hive: The Social Physiology of Honeybee Colonies,Thomas D. Seeley
The Work,Byron Katie
The World of Yesterday,Stefan Zweig
Theory of Moral Sentiments,Adam Smith
There Is Nothing For You Here,Fiona Hill
There’s a Treasure Inside,John Collins Black
They're Made Out of Meat,Terry Bisson
This Is Water,David Foster Wallace
Tiny Experiments,Anne-Laure Le Cunff
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow
"Too Sensitive: Rejection, Resilience, and the Science of Feeling Deeply",Sasha Hamdani
Traction: Get a Grip on Your Business,Gino Wickman
Traction: How Any Startup Can Achieve Explosive Customer Growth,Justin Mares and Gabriel Weinberg
Trading at the Speed of Light,Donald MacKenzie
Transcend: The New Science of Self-Actualization,Scott Barry Kaufman
Travels in Corsica,William Keith Leask
Triggers: 30 Sales Tools You Can Use to Control the Mind of Your Prospect,Joe Sugarman
Unabridged: The Thrill of and Threat to Modern Dictionaries,Stefan Fatsis
Understanding Media: The Extensions of Man,Marshall McLuhan
Understanding the Matthew Effect,Mark Wilburn
Uneducated: My Life as a Teacher and Why You Should Never Become One,Francis Foster
Ungifted: Intelligence Redefined,Scott Barry Kaufman
Unleash the Power Within,Tony Robbins
Unshakeable: Your Financial Freedom Playbook,Tony Robbins
Vaccines and Men,Aaron Siri
Vaccines: Amen,Aaron Siri
Vec As In Wreck,Bill Veeck
Vibe Coding,Steve Yegge and Gene Kim
War Games,David Bischoff
War of Art,Steven Pressfield
War of the Worlds,H.G. Wells
Warhammer: The Horus Heresy,Games Workshop
Warn,Sophie Tannhauser
Warren Buffett and the Interpretation of Financial Statements,Mary Buffett and David Clark
We Are the Bad Guys,Michael Lester
Wealthy Barber,David Chilton
Weapons of Mass Instruction,John Taylor Gatto
Well Endowed,Vivian Tu
Werewolves in Their Youth,Michael Chabon
What Would Charles Darwin Think About Clean Slate Architectures?,Unknown
What to Make of a Life,Jim Collins
Where Are the Customers’ Yachts?,Fred Schwed Jr.
Where We Keep the Light: Stories from a Life of Service,Josh Shapiro
Who Killed Jane Stanford?,Richard White
Who Moved My Cheese?,Spencer Johnson
Why Fish Don’t Exist,Lulu Miller
Wild Problems,Russ Roberts
Windswept House: A Vatican Novel,Malachi Martin
Winning,Tim Grover
Wisdom Wide and Deep,Shaila Catherine
"Witches, Feminism, and the Fall of the West",Edward Dutton
"Words That Work: It's Not What You Say, It's What People Hear",Frank Luntz
Worn: A People's History of Clothing,Sofi Thanhauser
You Can Be a Stock Market Genius,Joel Greenblatt
You Can't Teach Hungry,John Morgan
You Can't Teach Vision,John Morgan
You Could Be Having Better Sex,Dr. Nicole McNichols
You Have More Influence Than You Think,Vanessa Bohns
You Need a Budget,Jesse Mecham
You to the Power of Two: Redefining Human Potential in the Age of Identic AI,"Joseph Bradley, Don Tapscott"
"Young Forever: The Secrets to Living Your Longest, Healthiest Life",Mark Hyman
Young Man in a Hurry,Gavin Newsom
Your Individual Empire,Gary Vaynerchuk
Your Life in Weeks,Tim Urban
Your Personal Paleo Code,Chris Kresser
Zeckendorf,William Zeckendorf
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel
"iGen: Why Today's Super-Connected Kids Are Growing Up Less Rebellious, More Tolerant, Less Happy - and Completely Unprepared for Adulthood",Jean M. Twenge
